PUID;Parent;LocalID;TypeGraphics
457;Ids.Target;LabelDptTargHeaderUnit;ioLabel
458;Ids.Target;GridDptTarg;ioPanelGrid
459;Ids.Target;InstrDptTarg;ioTextBlock
460;Ids.Target;GridCogTargHeader;ioPanelGrid
461;Ids.Target;LabelCogTargHeader;ioLabel
462;Ids.Target;LabelCogTargHeaderUnit;ioLabel
463;Ids.Target;GridCogTarg;ioPanelGrid
464;Ids.Target;InstrCogTarg;ioTextBlock
465;Ids.Target;GridSogTargHeader;ioPanelGrid
466;Ids.Target;LabelSogTargHeader;ioLabel
467;Ids.Target;LabelSogTargHeaderUnit;ioLabel
468;Ids.Target;GridSogTarg;ioPanelGrid
469;Ids.Target;InstrSogTarg;ioTextBlock
470;Ids.Target;UiTargetsPlot;ioUiComponent
472;Ids.Track;UiTrackPlot;ioUiComponent
473;Ids.Position;UiPosSteerPanel;ioUiComponent
474;Ids.Target.InstrTargetsList;UiTargetsList;ioUiComponent
