DUID;Module;DataID;TypeData;NUID1;Parent1;LocalID1;NUID2;Parent2;LocalID2
154;Pow.Out24F;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
155;Pow.Out24F;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
156;Pow.Out24F;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
157;Pow.Out24F;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
176;Pow.Out24A;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
177;Pow.Out24A;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
178;Pow.Out24A;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
179;Pow.Out24A;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
180;Pow.Out24A;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
181;Pow.Out24A;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
182;Pow.Out24A;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
183;Pow.Out24A;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
202;Pow.Out220M;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
203;Pow.Out220M;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
204;Pow.Out220M;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
205;Pow.Out220M;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
206;Pow.Out220M;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
207;Pow.Out220M;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
208;Pow.Out220M;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
209;Pow.Out220M;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
228;Pow.Out220F;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
229;Pow.Out220F;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
230;Pow.Out220F;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
231;Pow.Out220F;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
232;Pow.Out220F;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
233;Pow.Out220F;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
234;Pow.Out220F;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
235;Pow.Out220F;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
254;Pow.Out220A;OnCh1;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
255;Pow.Out220A;OnCh2;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
256;Pow.Out220A;OnCh3;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
257;Pow.Out220A;OnCh4;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
258;Pow.Out220A;OnCh5;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
259;Pow.Out220A;OnCh6;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
260;Pow.Out220A;OnCh7;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
261;Pow.Out220A;OnCh8;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
280;Steer.ApM;RudderAngleMeas;Variable;11;NetC.CanHs250.Steer.Ap.Rudd.Rf;9;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
281;Steer.ApM;FrontThrustMeas;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;6;NetWiFi.192.168.11.Ids.CcM.C6015;11
282;Steer.ApM;RateOfTurnMeas;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;;#N/A;#N/A
283;Steer.ApM;HeadingMeas;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;;#N/A;#N/A
284;Steer.ApM;FrontThrustRef;Variable;2;NetEthernet.192.168.10.Ids.CcM.C6015;11;;#N/A;#N/A
286;Steer.ApM;HeadingRef;Variable;3;NetEthernet.192.168.10.Ids.OpM;12;;#N/A;#N/A
287;Steer.ApM;RateOfTurnRef;Variable;3;NetEthernet.192.168.10.Ids.OpM;12;;#N/A;#N/A
288;Steer.ApM;RudderAngleRef;Variable;3;NetEthernet.192.168.10.Ids.OpM;12;;#N/A;#N/A
293;Steer.ApM;EngineRpmMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
294;Steer.ApM;EngineRpmRef;Variable;;#N/A;#N/A;;#N/A;#N/A
296;Steer.ApA;RudderAngleMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
297;Steer.ApA;FrontThrustMeas;Variable;;#N/A;#N/A;;#N/A;#N/A
